month,orders,customers,revenue,profit,margin_rate,average_order_value,revenue_change,revenue_growth_rate
2024-01,520,418,183928.24,60268.37,0.3277,353.71,,
2024-02,544,444,201279.28,65851.96,0.3272,370,17351.04,0.0943
2024-03,568,444,210784.05,68243.45,0.3238,371.1,9504.77,0.0472
2024-04,592,457,214283.59,69419.41,0.324,361.97,3499.54,0.0166
2024-05,616,479,226304.33,73455.01,0.3246,367.38,12020.74,0.0561
2024-06,640,480,237670.85,78288.16,0.3294,371.36,11366.52,0.0502
2024-07,664,531,241108.93,77603.1,0.3219,363.12,3438.08,0.0145
2024-08,688,533,252355.8,81895.8,0.3245,366.8,11246.87,0.0466
2024-09,712,533,256716.8,83845.3,0.3266,360.56,4361,0.0173
2024-10,736,553,274973.76,88171.87,0.3207,373.61,18256.96,0.0711
2024-11,1003,672,372115.67,121912.07,0.3276,371,97141.91,0.3533
2024-12,1035,678,379058.84,123306.47,0.3253,366.24,6943.17,0.0187
2025-01,808,589,303013.61,97117.06,0.3205,375.02,-76045.23,-0.2006
2025-02,832,588,305906.66,99943.05,0.3267,367.68,2893.05,0.0095
2025-03,856,607,320902.28,102979.14,0.3209,374.89,14995.62,0.049
2025-04,880,619,334642.02,107568.84,0.3214,380.28,13739.74,0.0428
2025-05,904,636,327104.22,105628.76,0.3229,361.84,-7537.8,-0.0225
2025-06,928,647,350596.03,113353.07,0.3233,377.8,23491.81,0.0718
