month,training_start_month,training_end_month,actual_revenue,forecast_revenue,forecast_error,absolute_error,absolute_percentage_error,method
2024-07,2024-01,2024-06,241108.93,247103.83,-5994.9,5994.9,0.0249,six_month_linear_trend
2024-08,2024-02,2024-07,252355.8,251088.11,1267.69,1267.69,0.005,six_month_linear_trend
2024-09,2024-03,2024-08,256716.8,260388.06,-3671.26,3671.26,0.0143,six_month_linear_trend
2024-10,2024-04,2024-09,274973.76,267449.23,7524.53,7524.53,0.0274,six_month_linear_trend
2024-11,2024-05,2024-10,372115.67,279361.6,92754.07,92754.07,0.2493,six_month_linear_trend
2024-12,2024-06,2024-11,379058.84,350308.26,28750.58,28750.58,0.0758,six_month_linear_trend
2025-01,2024-07,2024-12,303013.61,402783.58,-99769.97,99769.97,0.3293,six_month_linear_trend
2025-02,2024-08,2025-01,305906.66,378118.12,-72211.46,72211.46,0.2361,six_month_linear_trend
2025-03,2024-09,2025-02,320902.28,348998.76,-28096.48,28096.48,0.0876,six_month_linear_trend
2025-04,2024-10,2025-03,334642.02,321492.17,13149.85,13149.85,0.0393,six_month_linear_trend
2025-05,2024-11,2025-04,327104.22,300045.36,27058.86,27058.86,0.0827,six_month_linear_trend
2025-06,2024-12,2025-05,350596.03,313448.72,37147.32,37147.32,0.106,six_month_linear_trend
