order_id,order_date,order_month,customer_id,category_id,region,channel,units,revenue,cost,profit,margin_rate,discount_rate,fulfillment_days
O000001,2024-01-19,2024-01,C00398,CAT005,Northeast,Retail Store,3,370.66,249.43,121.23,0.3271,0.153,4
O000002,2024-01-11,2024-01,C00825,CAT003,Midwest,Retail Store,1,154.15,90.52,63.63,0.4128,0.13,3
O000003,2024-01-26,2024-01,C00151,CAT003,South,Online,3,435.42,271.78,163.64,0.3758,0.081,4
O000004,2024-01-12,2024-01,C00890,CAT003,Midwest,Retail Store,2,362.97,215.92,147.05,0.4051,0.115,4
O000005,2024-01-18,2024-01,C00904,CAT002,Northeast,Online,3,368.17,237.46,130.71,0.355,0.106,2
O000006,2024-01-14,2024-01,C00686,CAT003,Midwest,Online,4,699.78,429.14,270.64,0.3868,0.001,7
O000007,2024-01-20,2024-01,C01130,CAT004,Midwest,Marketplace,2,185.18,116.91,68.27,0.3687,0.155,3
O000008,2024-01-07,2024-01,C00226,CAT001,West,Marketplace,3,600.12,451.36,148.76,0.2479,0.201,3
O000009,2024-01-10,2024-01,C00846,CAT003,Northeast,Online,4,531.91,317.35,214.56,0.4034,0.114,6
O000010,2024-01-25,2024-01,C00227,CAT003,West,Online,2,367.95,230.31,137.64,0.3741,0.125,2
O000011,2024-01-25,2024-01,C00268,CAT002,South,Marketplace,3,328.78,220.58,108.2,0.3291,0.216,3
O000012,2024-01-11,2024-01,C00828,CAT005,Northeast,Marketplace,4,351.94,249.62,102.32,0.2907,0.204,2
O000013,2024-01-13,2024-01,C00287,CAT003,West,Retail Store,4,635.72,389.38,246.34,0.3875,0.027,3
O000014,2024-01-25,2024-01,C00796,CAT001,South,Online,2,429.21,322.81,106.4,0.2479,0.144,4
O000015,2024-01-11,2024-01,C00492,CAT002,Northeast,Retail Store,3,374.89,245.37,129.52,0.3455,0.121,2
O000016,2024-01-17,2024-01,C00955,CAT003,South,Marketplace,3,414.47,243.52,170.95,0.4125,0.145,3
O000017,2024-01-16,2024-01,C00502,CAT004,South,Online,1,90.05,56.88,33.17,0.3684,0.122,2
O000018,2024-01-14,2024-01,C00975,CAT001,Midwest,Retail Store,4,930.66,700.77,229.89,0.247,0.156,4
O000019,2024-01-04,2024-01,C01175,CAT001,Midwest,Retail Store,2,401.9,289.51,112.39,0.2796,0.109,5
O000020,2024-01-23,2024-01,C00304,CAT003,South,Marketplace,2,258.2,149.76,108.44,0.42,0.146,1
O000021,2024-01-26,2024-01,C00103,CAT005,Midwest,Retail Store,4,542.09,379.36,162.73,0.3002,0.076,1
O000022,2024-01-26,2024-01,C00098,CAT002,West,Retail Store,2,232.7,154.14,78.56,0.3376,0.118,4
O000023,2024-01-17,2024-01,C01066,CAT004,Midwest,Marketplace,2,144.29,93.17,51.12,0.3543,0.213,2
O000024,2024-01-06,2024-01,C00876,CAT001,West,Online,1,226.46,170.13,56.33,0.2487,0.085,7
O000025,2024-01-14,2024-01,C01160,CAT003,Northeast,Marketplace,2,243.74,145.68,98.06,0.4023,0.212,5
O000026,2024-01-23,2024-01,C00331,CAT003,Northeast,Marketplace,3,410.44,240.72,169.72,0.4135,0.2,4
O000027,2024-01-09,2024-01,C01123,CAT003,West,Online,4,576.86,356.55,220.31,0.3819,0.138,5
O000028,2024-01-08,2024-01,C00001,CAT001,Midwest,Marketplace,2,480.38,358.81,121.57,0.2531,0.203,2
O000029,2024-01-22,2024-01,C00530,CAT005,South,Online,4,430.52,299.59,130.93,0.3041,0.048,1
O000030,2024-01-24,2024-01,C00994,CAT002,South,Marketplace,4,445.7,300.48,145.22,0.3258,0.188,4
O000031,2024-01-02,2024-01,C00935,CAT003,West,Online,2,373.5,224.78,148.72,0.3982,0.113,1
O000032,2024-01-07,2024-01,C00718,CAT005,Northeast,Online,4,519.13,367.71,151.42,0.2917,0.078,3
O000033,2024-01-08,2024-01,C00550,CAT004,West,Marketplace,1,75.78,48,27.78,0.3666,0.158,1
O000034,2024-01-23,2024-01,C00704,CAT001,Midwest,Retail Store,4,923.17,699.18,223.99,0.2426,0.03,4
O000035,2024-01-17,2024-01,C00025,CAT002,South,Online,1,145.25,96.88,48.37,0.333,0.14,1
O000036,2024-01-26,2024-01,C00629,CAT002,West,Online,2,293.23,195.82,97.41,0.3322,0.108,3
O000037,2024-01-12,2024-01,C00115,CAT004,South,Online,3,278.02,183.14,94.88,0.3413,0.101,2
O000038,2024-01-15,2024-01,C00620,CAT005,Northeast,Online,1,121.14,85.12,36.02,0.2973,0.114,3
O000039,2024-01-22,2024-01,C00914,CAT003,Northeast,Online,3,453.59,276.13,177.46,0.3912,0.145,4
O000040,2024-01-24,2024-01,C00297,CAT002,Northeast,Online,4,626.24,419.23,207.01,0.3306,0.054,1
O000041,2024-01-06,2024-01,C01023,CAT003,Northeast,Retail Store,3,526.05,307.33,218.72,0.4158,0.053,2
O000042,2024-01-05,2024-01,C00341,CAT003,West,Online,4,545.64,319.41,226.23,0.4146,0.104,1
O000043,2024-01-21,2024-01,C00154,CAT004,South,Retail Store,2,141.76,91.77,49.99,0.3526,0.128,3
O000044,2024-01-21,2024-01,C00546,CAT001,West,Online,1,212.79,156.53,56.26,0.2644,0.149,2
O000045,2024-01-23,2024-01,C01046,CAT005,West,Marketplace,1,105.36,71.42,33.94,0.3221,0.227,3
O000046,2024-01-12,2024-01,C00671,CAT003,South,Marketplace,1,178.57,108.69,69.88,0.3913,0.137,1
O000047,2024-01-15,2024-01,C00925,CAT003,South,Retail Store,3,408.86,247.01,161.85,0.3959,0.151,4
O000048,2024-01-09,2024-01,C00737,CAT004,South,Retail Store,1,89.33,56.56,32.77,0.3668,0.125,4
O000049,2024-01-19,2024-01,C00559,CAT001,Midwest,Retail Store,4,1083.11,819.1,264.01,0.2438,0.106,2
O000050,2024-01-26,2024-01,C00709,CAT001,South,Retail Store,4,950.36,711.46,238.9,0.2514,0.104,2
O000051,2024-01-07,2024-01,C00439,CAT001,Midwest,Online,4,1024.86,746.32,278.54,0.2718,0.049,8
O000052,2024-01-08,2024-01,C00157,CAT004,Northeast,Online,1,91.82,59.05,32.77,0.3569,0.054,4
O000053,2024-01-12,2024-01,C00973,CAT003,Northeast,Marketplace,3,393.65,233.94,159.71,0.4057,0.163,4
O000054,2024-01-10,2024-01,C00791,CAT001,Midwest,Online,4,818.55,584.67,233.88,0.2857,0.106,7
O000055,2024-01-11,2024-01,C01098,CAT005,Northeast,Online,4,439.35,295,144.35,0.3286,0.06,7
O000056,2024-01-05,2024-01,C01172,CAT003,West,Retail Store,2,355.6,219.83,135.77,0.3818,0.086,1
