month,metric_name,metric_field,current_value,baseline_average,baseline_stddev,z_score,threshold,alert_flag,severity,note
2024-07,Average discount rate,avg_discount_rate,0.1148,0.1126,0.0016,1.3951,1.6,normal,normal,Within rolling six-month baseline range.
2024-07,Average fulfillment days,avg_fulfillment_days,3.49,3.41,0.0945,0.8464,1.6,normal,normal,Within rolling six-month baseline range.
2024-07,Gross margin rate,margin_rate,0.3219,0.3261,0.0021,-2.0023,1.8,alert,medium,Gross margin rate is below its rolling six-month baseline with z-score -2.
2024-07,Monthly revenue,revenue,241108.93,212375.0567,17187.2688,1.6718,1.6,alert,medium,Monthly revenue is above its rolling six-month baseline with z-score 1.67.
2024-08,Average discount rate,avg_discount_rate,0.1101,0.1127,0.0017,-1.5215,1.6,normal,normal,Within rolling six-month baseline range.
2024-08,Average fulfillment days,avg_fulfillment_days,3.48,3.415,0.0978,0.6648,1.6,normal,normal,Within rolling six-month baseline range.
2024-08,Gross margin rate,margin_rate,0.3245,0.3251,0.0025,-0.2644,1.8,normal,normal,Within rolling six-month baseline range.
2024-08,Monthly revenue,revenue,252355.8,221905.1717,14398.4305,2.1149,1.6,alert,medium,Monthly revenue is above its rolling six-month baseline with z-score 2.11.
2024-09,Average discount rate,avg_discount_rate,0.1144,0.1121,0.0019,1.1811,1.6,normal,normal,Within rolling six-month baseline range.
2024-09,Average fulfillment days,avg_fulfillment_days,3.56,3.4383,0.0937,1.2984,1.6,normal,normal,Within rolling six-month baseline range.
2024-09,Gross margin rate,margin_rate,0.3266,0.3247,0.0023,0.8321,1.8,normal,normal,Within rolling six-month baseline range.
2024-09,Monthly revenue,revenue,256716.8,230417.925,14781.1837,1.7792,1.6,alert,medium,Monthly revenue is above its rolling six-month baseline with z-score 1.78.
2024-10,Average discount rate,avg_discount_rate,0.1162,0.1129,0.0018,1.8465,1.6,alert,medium,Average discount rate is above its rolling six-month baseline with z-score 1.85.
2024-10,Average fulfillment days,avg_fulfillment_days,3.4,3.4517,0.1038,-0.4976,1.6,normal,normal,Within rolling six-month baseline range.
2024-10,Gross margin rate,margin_rate,0.3207,0.3252,0.0023,-1.9112,1.8,alert,medium,Gross margin rate is below its rolling six-month baseline with z-score -1.91.
2024-10,Monthly revenue,revenue,274973.76,238073.3833,14522.4302,2.5409,1.6,alert,high,Monthly revenue is above its rolling six-month baseline with z-score 2.54.
2024-11,Average discount rate,avg_discount_rate,0.1107,0.1134,0.0022,-1.2294,1.6,normal,normal,Within rolling six-month baseline range.
2024-11,Average fulfillment days,avg_fulfillment_days,3.49,3.48,0.0473,0.2116,1.6,normal,normal,Within rolling six-month baseline range.
2024-11,Gross margin rate,margin_rate,0.3276,0.3246,0.0029,1.0382,1.8,normal,normal,Within rolling six-month baseline range.
2024-11,Monthly revenue,revenue,372115.67,248188.4117,15530.6504,7.9795,1.6,alert,high,Monthly revenue is above its rolling six-month baseline with z-score 7.98.
2024-12,Average discount rate,avg_discount_rate,0.1149,0.1134,0.0022,0.6844,1.6,normal,normal,Within rolling six-month baseline range.
2024-12,Average fulfillment days,avg_fulfillment_days,3.6,3.48,0.0473,2.5392,1.6,alert,high,Average fulfillment days is above its rolling six-month baseline with z-score 2.54.
2024-12,Gross margin rate,margin_rate,0.3253,0.3251,0.0031,0.0595,1.8,normal,normal,Within rolling six-month baseline range.
2024-12,Monthly revenue,revenue,379058.84,272490.3017,46156.9204,2.3088,1.6,alert,medium,Monthly revenue is above its rolling six-month baseline with z-score 2.31.
2025-01,Average discount rate,avg_discount_rate,0.1114,0.1135,0.0023,-0.929,1.6,normal,normal,Within rolling six-month baseline range.
2025-01,Average fulfillment days,avg_fulfillment_days,3.44,3.5033,0.0634,-0.9986,1.6,normal,normal,Within rolling six-month baseline range.
2025-01,Gross margin rate,margin_rate,0.3205,0.3244,0.0024,-1.6095,1.8,normal,normal,Within rolling six-month baseline range.
2025-01,Monthly revenue,revenue,303013.61,296054.9667,57148.15,0.1218,1.6,normal,normal,Within rolling six-month baseline range.
2025-02,Average discount rate,avg_discount_rate,0.1178,0.1129,0.0023,2.0983,1.6,alert,medium,Average discount rate is above its rolling six-month baseline with z-score 2.1.
2025-02,Average fulfillment days,avg_fulfillment_days,3.52,3.495,0.0678,0.3689,1.6,normal,normal,Within rolling six-month baseline range.
2025-02,Gross margin rate,margin_rate,0.3267,0.3242,0.0027,0.9174,1.8,normal,normal,Within rolling six-month baseline range.
2025-02,Monthly revenue,revenue,305906.66,306372.4133,51617.3806,-0.009,1.6,normal,normal,Within rolling six-month baseline range.
