cohort_month,month_number,cohort_size,active_customers,retention_rate
2024-01,0,97,28,0.2887
2024-01,1,97,36,0.3711
2024-01,2,97,42,0.433
2024-01,3,97,36,0.3711
2024-01,4,97,36,0.3711
2024-01,5,97,36,0.3711
2024-02,0,91,32,0.3516
2024-02,1,91,47,0.5165
2024-02,2,91,29,0.3187
2024-02,3,91,37,0.4066
2024-02,4,91,37,0.4066
2024-02,5,91,47,0.5165
2024-03,0,91,28,0.3077
2024-03,1,91,42,0.4615
2024-03,2,91,37,0.4066
2024-03,3,91,45,0.4945
2024-03,4,91,39,0.4286
2024-03,5,91,45,0.4945
2024-04,0,108,42,0.3889
2024-04,1,108,45,0.4167
2024-04,2,108,45,0.4167
2024-04,3,108,48,0.4444
2024-04,4,108,52,0.4815
2024-04,5,108,46,0.4259
2024-05,0,122,47,0.3852
2024-05,1,122,58,0.4754
2024-05,2,122,64,0.5246
2024-05,3,122,60,0.4918
2024-05,4,122,54,0.4426
2024-05,5,122,50,0.4098
2024-06,0,98,38,0.3878
2024-06,1,98,41,0.4184
2024-06,2,98,40,0.4082
2024-06,3,98,42,0.4286
2024-06,4,98,51,0.5204
2024-06,5,98,47,0.4796
2024-07,0,102,41,0.402
2024-07,1,102,38,0.3725
2024-07,2,102,37,0.3627
2024-07,3,102,45,0.4412
2024-07,4,102,59,0.5784
2024-07,5,102,68,0.6667
2024-08,0,92,44,0.4783
2024-08,1,92,38,0.413
2024-08,2,92,33,0.3587
2024-08,3,92,45,0.4891
2024-08,4,92,53,0.5761
2024-08,5,92,43,0.4674
2024-09,0,106,51,0.4811
2024-09,1,106,45,0.4245
2024-09,2,106,67,0.6321
2024-09,3,106,60,0.566
2024-09,4,106,56,0.5283
2024-09,5,106,56,0.5283
2024-10,0,97,33,0.3402
2024-10,1,97,55,0.567
2024-10,2,97,54,0.5567
2024-10,3,97,54,0.5567
2024-10,4,97,51,0.5258
2024-10,5,97,44,0.4536
2024-11,0,102,54,0.5294
2024-11,1,102,60,0.5882
2024-11,2,102,52,0.5098
2024-11,3,102,49,0.4804
2024-11,4,102,52,0.5098
2024-11,5,102,51,0.5
2024-12,0,94,51,0.5426
2024-12,1,94,45,0.4787
2024-12,2,94,42,0.4468
2024-12,3,94,52,0.5532
2024-12,4,94,58,0.617
2024-12,5,94,52,0.5532
