month,orders,customers,units,revenue,cost,profit,discount_rate,fulfillment_days,average_order_value,margin_rate,avg_discount_rate,avg_fulfillment_days
2024-01,520,418,1273,183928.24,123659.87,60268.37,59.437000000000026,1801,353.71,0.3277,0.1143,3.46
2024-02,544,444,1385,201279.28,135427.32,65851.96,61.60499999999994,1815,370,0.3272,0.1132,3.34
2024-03,568,444,1424,210784.05,142540.6,68243.45,62.508999999999965,1976,371.1,0.3238,0.1101,3.48
2024-04,592,457,1456,214283.59,144864.18,69419.41,66.87900000000009,1914,361.97,0.324,0.113,3.23
2024-05,616,479,1540,226304.33,152849.32,73455.01,68.23999999999995,2151,367.38,0.3246,0.1108,3.49
2024-06,640,480,1596,237670.85,159382.69,78288.16,73.04100000000001,2217,371.36,0.3294,0.1141,3.46
2024-07,664,531,1628,241108.93,163505.83,77603.1,76.24400000000004,2318,363.12,0.3219,0.1148,3.49
2024-08,688,533,1723,252355.8,170460,81895.8,75.74699999999997,2392,366.8,0.3245,0.1101,3.48
2024-09,712,533,1776,256716.8,172871.5,83845.3,81.472,2534,360.56,0.3266,0.1144,3.56
2024-10,736,553,1829,274973.76,186801.89,88171.87,85.49700000000006,2500,373.61,0.3207,0.1162,3.4
2024-11,1003,672,2501,372115.67,250203.6,121912.07,111.02700000000013,3504,371,0.3276,0.1107,3.49
2024-12,1035,678,2594,379058.84,255752.37,123306.47,118.96800000000019,3721,366.24,0.3253,0.1149,3.6
2025-01,808,589,2021,303013.61,205896.55,97117.06,90.00499999999995,2779,375.02,0.3205,0.1114,3.44
2025-02,832,588,2114,305906.66,205963.61,99943.05,98.041,2930,367.68,0.3267,0.1178,3.52
2025-03,856,607,2132,320902.28,217923.14,102979.14,98.29799999999989,3017,374.89,0.3209,0.1148,3.52
2025-04,880,619,2245,334642.02,227073.18,107568.84,98.67700000000028,3039,380.28,0.3214,0.1121,3.45
2025-05,904,636,2289,327104.22,221475.46,105628.76,103.2560000000001,3129,361.84,0.3229,0.1142,3.46
2025-06,928,647,2345,350596.03,237242.96,113353.07,102.77600000000007,3196,377.8,0.3233,0.1108,3.44
