customer_id,region,segment,signup_date
C00001,Midwest,New,2024-01-19
C00002,Midwest,Loyalty,2024-09-10
C00003,Northeast,Returning,2024-08-17
C00004,Midwest,Loyalty,2024-03-22
C00005,West,Loyalty,2024-03-13
C00006,South,Returning,2024-07-04
C00007,West,Returning,2024-04-02
C00008,West,New,2024-04-25
C00009,Northeast,New,2024-10-05
C00010,Northeast,Returning,2024-11-22
C00011,Midwest,Loyalty,2024-10-12
C00012,South,Loyalty,2024-06-14
C00013,Midwest,Returning,2024-01-10
C00014,Northeast,New,2024-09-08
C00015,Northeast,Returning,2024-08-12
C00016,Northeast,Returning,2024-12-16
C00017,Midwest,Returning,2024-09-03
C00018,Midwest,Loyalty,2024-09-27
C00019,West,Returning,2024-06-16
C00020,Midwest,Loyalty,2024-02-06
C00021,West,New,2024-11-18
C00022,South,New,2024-05-22
C00023,Midwest,Loyalty,2024-09-03
C00024,South,Returning,2024-03-13
C00025,South,Loyalty,2024-09-18
C00026,Northeast,New,2024-10-06
C00027,South,Returning,2024-03-19
C00028,West,Returning,2024-10-03
C00029,West,Loyalty,2024-09-07
C00030,West,New,2024-09-05
C00031,South,New,2024-09-26
C00032,Northeast,Loyalty,2024-05-09
C00033,Midwest,Loyalty,2024-11-02
C00034,West,New,2024-12-07
C00035,Northeast,Loyalty,2024-05-04
C00036,Midwest,Loyalty,2024-06-26
C00037,Northeast,New,2024-08-21
C00038,West,Loyalty,2024-03-02
C00039,Midwest,Returning,2024-06-11
C00040,Midwest,Returning,2024-05-10
C00041,South,New,2024-02-04
C00042,South,Loyalty,2024-08-10
C00043,Northeast,Loyalty,2024-07-08
C00044,South,Returning,2024-09-27
C00045,South,New,2024-02-21
C00046,Midwest,Loyalty,2024-12-10
C00047,West,Loyalty,2024-12-19
C00048,Midwest,Returning,2024-10-07
C00049,Midwest,New,2024-11-18
C00050,South,Loyalty,2024-11-07
C00051,West,Loyalty,2024-06-06
C00052,Midwest,Returning,2024-10-02
C00053,Northeast,Returning,2024-03-26
C00054,South,Loyalty,2024-08-10
C00055,West,Returning,2024-08-13
C00056,West,Loyalty,2024-05-24
C00057,South,New,2024-07-24
C00058,Midwest,New,2024-07-13
C00059,Northeast,New,2024-10-27
C00060,Midwest,New,2024-11-24
C00061,South,Returning,2024-04-09
C00062,Midwest,Loyalty,2024-11-27
C00063,South,Loyalty,2024-10-05
C00064,West,Returning,2024-03-05
C00065,South,New,2024-01-26
C00066,South,Loyalty,2024-07-18
C00067,West,Returning,2024-10-25
C00068,Midwest,Loyalty,2024-11-19
C00069,West,Loyalty,2024-01-08
C00070,South,Loyalty,2024-01-16
C00071,West,New,2024-12-20
C00072,Midwest,Loyalty,2024-03-22
C00073,Northeast,New,2024-06-25
C00074,Northeast,Returning,2024-02-13
C00075,Northeast,Returning,2024-04-17
C00076,Midwest,New,2024-01-05
C00077,Midwest,New,2024-01-19
C00078,West,Returning,2024-03-07
C00079,Northeast,Returning,2024-11-15
C00080,South,Returning,2024-03-23
C00081,Midwest,Returning,2024-07-05
C00082,Midwest,New,2024-09-24
C00083,South,New,2024-10-24
C00084,West,Returning,2024-05-12
C00085,Northeast,Loyalty,2024-10-01
C00086,Midwest,Returning,2024-11-19
C00087,West,Loyalty,2024-06-01
C00088,West,Loyalty,2024-01-18
C00089,Northeast,New,2024-07-27
C00090,Midwest,Loyalty,2024-10-24
C00091,Midwest,Returning,2024-11-02
C00092,Midwest,Loyalty,2024-01-16
C00093,South,Loyalty,2024-06-02
C00094,West,New,2024-09-04
C00095,Northeast,Loyalty,2024-11-09
C00096,South,New,2024-04-19
C00097,Midwest,New,2024-11-26
C00098,West,Loyalty,2024-09-06
C00099,Northeast,Returning,2024-05-21
C00100,Midwest,New,2024-11-04
C00101,Northeast,New,2024-10-13
C00102,West,Returning,2024-07-27
C00103,Midwest,Loyalty,2024-04-27
C00104,South,New,2024-11-24
C00105,Northeast,Returning,2024-11-24
C00106,West,Loyalty,2024-05-25
C00107,West,Returning,2024-11-24
C00108,Midwest,Returning,2024-07-13
C00109,Midwest,Loyalty,2024-05-19
C00110,Northeast,Loyalty,2024-07-22
C00111,South,Returning,2024-09-06
C00112,South,Loyalty,2024-01-17
C00113,Midwest,New,2024-07-21
C00114,Northeast,New,2024-06-04
C00115,South,Returning,2024-06-08
C00116,Midwest,Returning,2024-08-14
C00117,South,Returning,2024-03-13
C00118,Midwest,Returning,2024-07-20
C00119,Midwest,Returning,2024-08-03
C00120,South,New,2024-12-23
C00121,West,Loyalty,2024-05-17
C00122,West,Loyalty,2024-03-20
C00123,Midwest,Returning,2024-09-10
C00124,Midwest,Returning,2024-06-16
C00125,Midwest,New,2024-04-21
C00126,West,Returning,2024-03-13
C00127,West,Loyalty,2024-09-20
C00128,West,Returning,2024-11-17
C00129,Midwest,Loyalty,2024-10-26
C00130,Northeast,Returning,2024-12-04
C00131,Midwest,Returning,2024-05-10
C00132,Midwest,Returning,2024-03-21
C00133,West,Loyalty,2024-06-11
C00134,West,New,2024-11-23
C00135,South,New,2024-08-08
C00136,West,New,2024-03-16
C00137,Northeast,New,2024-07-25
C00138,West,New,2024-09-15
C00139,West,Loyalty,2024-09-25
C00140,West,Loyalty,2024-02-02
C00141,Northeast,Loyalty,2024-05-22
C00142,Northeast,New,2024-08-14
C00143,West,Loyalty,2024-05-27
C00144,South,Loyalty,2024-11-10
C00145,West,Returning,2024-01-01
C00146,Northeast,Loyalty,2024-03-27
C00147,Northeast,Returning,2024-12-07
C00148,Northeast,Returning,2024-10-14
C00149,South,Returning,2024-05-07
C00150,Midwest,New,2024-05-07
C00151,South,Loyalty,2024-03-19
C00152,Northeast,Loyalty,2024-04-25
C00153,South,New,2024-08-08
C00154,South,Returning,2024-11-25
C00155,Northeast,Loyalty,2024-02-25
C00156,South,Returning,2024-08-01
C00157,Northeast,Loyalty,2024-09-12
C00158,South,Returning,2024-02-23
C00159,South,Returning,2024-12-25
C00160,Northeast,Loyalty,2024-09-09
C00161,West,Loyalty,2024-11-24
C00162,South,Returning,2024-12-16
C00163,South,Returning,2024-05-04
C00164,West,New,2024-03-01
C00165,West,Returning,2024-09-14
C00166,South,Returning,2024-10-13
C00167,South,Returning,2024-02-17
C00168,Midwest,Loyalty,2024-07-11
C00169,South,New,2024-12-07
C00170,South,New,2024-06-22
C00171,South,New,2024-03-23
C00172,Midwest,New,2024-09-11
C00173,West,Loyalty,2024-06-02
C00174,Midwest,New,2024-04-03
C00175,West,New,2024-10-26
C00176,West,Returning,2024-06-22
C00177,South,New,2024-05-01
C00178,South,Returning,2024-02-14
C00179,West,Loyalty,2024-02-23
C00180,Midwest,New,2024-12-02
C00181,West,Returning,2024-12-18
C00182,South,New,2024-08-07
C00183,South,Returning,2024-03-27
C00184,Northeast,New,2024-07-06
C00185,South,Returning,2024-08-19
C00186,West,Loyalty,2024-12-20
C00187,West,New,2024-02-02
C00188,Midwest,Loyalty,2024-03-12
C00189,Northeast,Returning,2024-02-12
C00190,Midwest,New,2024-04-13
C00191,West,New,2024-09-10
C00192,South,Loyalty,2024-10-03
C00193,Midwest,New,2024-06-22
C00194,South,Loyalty,2024-06-24
C00195,Midwest,New,2024-01-03
C00196,Midwest,Returning,2024-01-26
C00197,South,Returning,2024-12-01
C00198,Northeast,Returning,2024-06-14
C00199,Midwest,Returning,2024-05-12
C00200,West,Returning,2024-04-07
C00201,Midwest,Loyalty,2024-05-05
C00202,Northeast,Loyalty,2024-08-22
C00203,Midwest,New,2024-10-12
C00204,South,New,2024-02-08
C00205,Midwest,New,2024-10-19
C00206,South,Loyalty,2024-07-27
C00207,South,New,2024-01-18
C00208,Midwest,Returning,2024-07-17
C00209,Midwest,Returning,2024-08-18
C00210,South,Returning,2024-10-24
C00211,Midwest,New,2024-05-26
C00212,South,New,2024-02-20
C00213,West,New,2024-07-17
C00214,South,Loyalty,2024-04-13
C00215,South,New,2024-09-14
C00216,South,Returning,2024-10-22
C00217,West,New,2024-12-20
C00218,West,New,2024-05-18
C00219,Northeast,Returning,2024-01-23
C00220,Midwest,Loyalty,2024-08-22
C00221,Northeast,Returning,2024-03-21
C00222,South,Returning,2024-03-17
C00223,South,New,2024-05-26
C00224,West,New,2024-07-07
C00225,Midwest,New,2024-07-15
C00226,West,New,2024-07-21
C00227,West,New,2024-05-04
C00228,South,New,2024-11-19
C00229,South,Loyalty,2024-09-06
C00230,South,New,2024-02-14
C00231,Northeast,New,2024-05-16
C00232,South,New,2024-06-12
C00233,Midwest,New,2024-05-07
C00234,West,Loyalty,2024-01-19
C00235,Northeast,Returning,2024-12-13
C00236,South,Loyalty,2024-09-16
C00237,Northeast,Loyalty,2024-05-21
C00238,Northeast,Loyalty,2024-02-16
C00239,Northeast,Loyalty,2024-07-21
C00240,South,New,2024-12-01
C00241,South,Returning,2024-07-01
C00242,Northeast,Loyalty,2024-04-08
C00243,West,Loyalty,2024-11-26
C00244,West,Loyalty,2024-09-11
C00245,Midwest,Returning,2024-11-21
C00246,South,Loyalty,2024-12-16
C00247,Northeast,Loyalty,2024-05-13
C00248,Midwest,Loyalty,2024-07-11
C00249,West,New,2024-01-26
C00250,Midwest,Loyalty,2024-12-10
C00251,Midwest,Returning,2024-01-11
C00252,Northeast,Returning,2024-04-08
C00253,South,Returning,2024-05-06
C00254,Northeast,Returning,2024-03-06
C00255,Midwest,Loyalty,2024-03-27
C00256,West,Loyalty,2024-01-03
C00257,West,Loyalty,2024-10-07
C00258,South,Loyalty,2024-06-17
C00259,Northeast,Returning,2024-02-19
C00260,South,Loyalty,2024-03-18
C00261,West,Loyalty,2024-04-09
C00262,Northeast,New,2024-05-25
C00263,West,Returning,2024-11-09
C00264,South,Loyalty,2024-08-23
C00265,South,New,2024-07-15
C00266,Midwest,New,2024-02-05
C00267,Northeast,New,2024-11-23
C00268,South,Loyalty,2024-03-21
C00269,South,Returning,2024-12-20
C00270,South,Loyalty,2024-04-26
C00271,South,New,2024-02-05
C00272,Northeast,Loyalty,2024-10-24
C00273,South,New,2024-11-20
C00274,West,Returning,2024-04-03
C00275,West,Returning,2024-03-16
C00276,South,New,2024-03-22
C00277,West,Returning,2024-01-20
C00278,Midwest,New,2024-09-13
C00279,South,Loyalty,2024-09-17
C00280,Northeast,Loyalty,2024-06-26
C00281,West,New,2024-10-05
C00282,South,Returning,2024-02-03
C00283,Midwest,Returning,2024-01-02
C00284,Northeast,New,2024-05-15
C00285,Northeast,Loyalty,2024-02-27
C00286,South,Returning,2024-01-16
C00287,West,Loyalty,2024-11-02
C00288,Midwest,Returning,2024-04-05
C00289,Northeast,Loyalty,2024-09-16
C00290,Northeast,Returning,2024-05-18
C00291,Northeast,Returning,2024-01-27
C00292,South,Returning,2024-05-27
C00293,Midwest,Loyalty,2024-04-25
C00294,Midwest,New,2024-05-05
C00295,West,New,2024-11-19
C00296,Midwest,Returning,2024-09-03
C00297,Northeast,New,2024-04-27
C00298,West,New,2024-12-17
C00299,Midwest,Loyalty,2024-12-09
C00300,West,New,2024-01-18
C00301,South,New,2024-12-10
C00302,Northeast,Returning,2024-06-22
C00303,Northeast,New,2024-06-14
C00304,South,Loyalty,2024-08-09
C00305,Midwest,Loyalty,2024-07-16
C00306,South,Returning,2024-06-13
C00307,South,Returning,2024-12-14
C00308,West,New,2024-09-16
C00309,Midwest,Returning,2024-03-12
C00310,Midwest,New,2024-09-18
C00311,South,Loyalty,2024-09-25
C00312,Midwest,New,2024-11-21
C00313,Northeast,New,2024-05-22
C00314,Midwest,New,2024-02-21
C00315,South,Returning,2024-05-21
C00316,South,New,2024-06-07
C00317,South,Returning,2024-01-12
C00318,West,Loyalty,2024-07-06
C00319,Midwest,Loyalty,2024-06-06
C00320,South,Loyalty,2024-05-03
C00321,South,Returning,2024-04-22
C00322,West,New,2024-03-04
C00323,Midwest,New,2024-08-25
C00324,Midwest,Loyalty,2024-09-05
C00325,Midwest,New,2024-10-18
C00326,Northeast,Returning,2024-11-26
C00327,South,New,2024-06-20
C00328,West,New,2024-06-12
C00329,Northeast,New,2024-05-01
C00330,Midwest,New,2024-04-03
C00331,Northeast,New,2024-05-15
C00332,Midwest,Returning,2024-04-02
C00333,South,Returning,2024-04-22
C00334,South,Loyalty,2024-01-04
C00335,Northeast,Loyalty,2024-03-10
C00336,Northeast,Returning,2024-03-15
C00337,Northeast,Loyalty,2024-09-10
C00338,South,Returning,2024-03-08
C00339,Midwest,Returning,2024-11-21
C00340,Northeast,Loyalty,2024-02-27
C00341,West,Returning,2024-10-06
C00342,Midwest,New,2024-04-18
C00343,South,New,2024-09-24
C00344,Northeast,New,2024-07-12
C00345,Northeast,New,2024-06-16
C00346,Midwest,Returning,2024-01-03
C00347,Northeast,Loyalty,2024-02-12
C00348,South,Loyalty,2024-04-15
C00349,West,Loyalty,2024-10-27
C00350,West,New,2024-12-16
C00351,West,New,2024-05-17
C00352,South,Returning,2024-11-22
C00353,South,Loyalty,2024-07-15
C00354,Northeast,Returning,2024-12-21
C00355,Northeast,New,2024-06-16
C00356,Northeast,New,2024-06-08
C00357,West,New,2024-02-07
C00358,South,New,2024-11-25
C00359,Midwest,Loyalty,2024-02-19
C00360,Midwest,Loyalty,2024-02-25
C00361,Northeast,New,2024-07-01
C00362,South,Loyalty,2024-07-07
C00363,Northeast,Returning,2024-12-21
C00364,Midwest,Loyalty,2024-10-24
C00365,Midwest,Loyalty,2024-10-20
C00366,Northeast,New,2024-05-07
C00367,Northeast,Loyalty,2024-05-27
C00368,Northeast,Loyalty,2024-11-02
C00369,South,Returning,2024-11-12
C00370,Midwest,Loyalty,2024-07-12
C00371,South,New,2024-05-07
C00372,Midwest,Returning,2024-01-19
C00373,Midwest,Returning,2024-04-11
C00374,West,Loyalty,2024-06-26
C00375,West,Returning,2024-07-12
C00376,South,New,2024-06-18
C00377,South,Loyalty,2024-10-14
C00378,Northeast,Loyalty,2024-12-25
C00379,West,Loyalty,2024-03-02
C00380,West,New,2024-08-11
C00381,South,Returning,2024-11-10
C00382,West,New,2024-11-15
C00383,South,Returning,2024-08-10
C00384,West,Loyalty,2024-11-14
C00385,South,Returning,2024-09-03
C00386,West,Loyalty,2024-05-12
C00387,South,Loyalty,2024-09-18
C00388,Northeast,Loyalty,2024-10-15
C00389,Midwest,Loyalty,2024-07-15
C00390,West,Loyalty,2024-11-03
C00391,Northeast,Loyalty,2024-08-25
