customer_id,region,segment,signup_date,signup_month
C00001,Midwest,New,2024-01-19,2024-01
C00002,Midwest,Loyalty,2024-09-10,2024-09
C00003,Northeast,Returning,2024-08-17,2024-08
C00004,Midwest,Loyalty,2024-03-22,2024-03
C00005,West,Loyalty,2024-03-13,2024-03
C00006,South,Returning,2024-07-04,2024-07
C00007,West,Returning,2024-04-02,2024-04
C00008,West,New,2024-04-25,2024-04
C00009,Northeast,New,2024-10-05,2024-10
C00010,Northeast,Returning,2024-11-22,2024-11
C00011,Midwest,Loyalty,2024-10-12,2024-10
C00012,South,Loyalty,2024-06-14,2024-06
C00013,Midwest,Returning,2024-01-10,2024-01
C00014,Northeast,New,2024-09-08,2024-09
C00015,Northeast,Returning,2024-08-12,2024-08
C00016,Northeast,Returning,2024-12-16,2024-12
C00017,Midwest,Returning,2024-09-03,2024-09
C00018,Midwest,Loyalty,2024-09-27,2024-09
C00019,West,Returning,2024-06-16,2024-06
C00020,Midwest,Loyalty,2024-02-06,2024-02
C00021,West,New,2024-11-18,2024-11
C00022,South,New,2024-05-22,2024-05
C00023,Midwest,Loyalty,2024-09-03,2024-09
C00024,South,Returning,2024-03-13,2024-03
C00025,South,Loyalty,2024-09-18,2024-09
C00026,Northeast,New,2024-10-06,2024-10
C00027,South,Returning,2024-03-19,2024-03
C00028,West,Returning,2024-10-03,2024-10
C00029,West,Loyalty,2024-09-07,2024-09
C00030,West,New,2024-09-05,2024-09
C00031,South,New,2024-09-26,2024-09
C00032,Northeast,Loyalty,2024-05-09,2024-05
C00033,Midwest,Loyalty,2024-11-02,2024-11
C00034,West,New,2024-12-07,2024-12
C00035,Northeast,Loyalty,2024-05-04,2024-05
C00036,Midwest,Loyalty,2024-06-26,2024-06
C00037,Northeast,New,2024-08-21,2024-08
C00038,West,Loyalty,2024-03-02,2024-03
C00039,Midwest,Returning,2024-06-11,2024-06
C00040,Midwest,Returning,2024-05-10,2024-05
C00041,South,New,2024-02-04,2024-02
C00042,South,Loyalty,2024-08-10,2024-08
C00043,Northeast,Loyalty,2024-07-08,2024-07
C00044,South,Returning,2024-09-27,2024-09
C00045,South,New,2024-02-21,2024-02
C00046,Midwest,Loyalty,2024-12-10,2024-12
C00047,West,Loyalty,2024-12-19,2024-12
C00048,Midwest,Returning,2024-10-07,2024-10
C00049,Midwest,New,2024-11-18,2024-11
C00050,South,Loyalty,2024-11-07,2024-11
C00051,West,Loyalty,2024-06-06,2024-06
C00052,Midwest,Returning,2024-10-02,2024-10
C00053,Northeast,Returning,2024-03-26,2024-03
C00054,South,Loyalty,2024-08-10,2024-08
C00055,West,Returning,2024-08-13,2024-08
C00056,West,Loyalty,2024-05-24,2024-05
C00057,South,New,2024-07-24,2024-07
C00058,Midwest,New,2024-07-13,2024-07
C00059,Northeast,New,2024-10-27,2024-10
C00060,Midwest,New,2024-11-24,2024-11
C00061,South,Returning,2024-04-09,2024-04
C00062,Midwest,Loyalty,2024-11-27,2024-11
C00063,South,Loyalty,2024-10-05,2024-10
C00064,West,Returning,2024-03-05,2024-03
C00065,South,New,2024-01-26,2024-01
C00066,South,Loyalty,2024-07-18,2024-07
C00067,West,Returning,2024-10-25,2024-10
C00068,Midwest,Loyalty,2024-11-19,2024-11
C00069,West,Loyalty,2024-01-08,2024-01
C00070,South,Loyalty,2024-01-16,2024-01
C00071,West,New,2024-12-20,2024-12
C00072,Midwest,Loyalty,2024-03-22,2024-03
C00073,Northeast,New,2024-06-25,2024-06
C00074,Northeast,Returning,2024-02-13,2024-02
C00075,Northeast,Returning,2024-04-17,2024-04
C00076,Midwest,New,2024-01-05,2024-01
C00077,Midwest,New,2024-01-19,2024-01
C00078,West,Returning,2024-03-07,2024-03
C00079,Northeast,Returning,2024-11-15,2024-11
C00080,South,Returning,2024-03-23,2024-03
C00081,Midwest,Returning,2024-07-05,2024-07
