segment,region,value_tier,customers,avg_lifetime_revenue,avg_lifetime_profit,avg_lifetime_orders
Loyalty,Northeast,high_value_repeat,77,4656.81,1511.32,12.32
Loyalty,West,high_value_repeat,97,4613.4,1488.46,12.08
New,South,high_value_repeat,89,4537.49,1474.46,12.02
New,West,high_value_repeat,89,4529.76,1462.04,12.1
Returning,West,high_value_repeat,81,4525.39,1453.59,12.09
New,Midwest,high_value_repeat,97,4470.9,1435.6,11.98
New,Northeast,high_value_repeat,81,4386.8,1426.51,11.47
Returning,Midwest,high_value_repeat,89,4384.83,1419.82,11.82
Loyalty,Midwest,high_value_repeat,96,4364.95,1397.42,11.58
Returning,Northeast,high_value_repeat,76,4361.5,1412.9,11.5
Loyalty,South,high_value_repeat,92,4345.28,1416.79,11.93
Returning,South,high_value_repeat,96,4311.62,1413.64,11.7
Loyalty,Midwest,growth_potential,7,2110.73,692.33,6.43
Returning,West,growth_potential,12,2102.51,697.25,7.5
Loyalty,Northeast,growth_potential,9,2101.03,717.52,7.22
New,Northeast,growth_potential,15,2069.98,706.89,7.13
New,South,growth_potential,11,2041.17,690.3,7.45
Returning,South,growth_potential,12,2024.88,690.13,7.5
Returning,Midwest,growth_potential,13,1974.62,653.94,6.23
New,West,growth_potential,13,1958.06,648.43,6.46
Loyalty,South,growth_potential,8,1946.57,651.48,5.38
Returning,Northeast,growth_potential,11,1907.33,622.01,6.55
New,Midwest,growth_potential,12,1874.05,624.47,6.67
Loyalty,West,growth_potential,7,1823.23,628.25,6.43
Loyalty,West,repeat_low_value,1,1192.29,376.84,5.0
New,Midwest,repeat_low_value,1,1155.3,406.97,5.0
New,Northeast,repeat_low_value,1,1139.2,362.29,6.0
Returning,Midwest,repeat_low_value,1,1096.98,300.67,3.0
Loyalty,South,repeat_low_value,1,1060.82,346.09,6.0
Loyalty,Midwest,repeat_low_value,2,1028.73,345.4,4.0
Returning,West,repeat_low_value,1,1012.22,335.72,6.0
Returning,Northeast,repeat_low_value,1,748.25,211.85,2.0
New,South,repeat_low_value,1,573.42,201.2,4.0
