month,actual_revenue,forecast_revenue,absolute_error,absolute_percentage_error
2024-07,241108.93,247103.83,5994.9,0.0249
2024-08,252355.8,251088.11,1267.69,0.005
2024-09,256716.8,260388.05,3671.25,0.0143
2024-10,274973.76,267449.24,7524.52,0.0274
2024-11,372115.67,279361.6,92754.07,0.2493
2024-12,379058.84,350308.26,28750.58,0.0758
2025-01,303013.61,402783.58,99769.97,0.3293
2025-02,305906.66,378118.12,72211.46,0.2361
2025-03,320902.28,348998.76,28096.48,0.0876
2025-04,334642.02,321492.17,13149.85,0.0393
2025-05,327104.22,300045.36,27058.86,0.0827
2025-06,350596.03,313448.71,37147.32,0.106
